
Epoch: 001, Train Loss: 0.8121, Val: -1.1861, Test: -1.2246, Seconds: 149.7460, Memory Peak: 2935 MB allocated, 8440 MB reserved.
Epoch: 002, Train Loss: 0.6898, Val: -0.5425, Test: -0.5738, Seconds: 153.4720, Memory Peak: 2935 MB allocated, 9942 MB reserved.
Epoch: 003, Train Loss: 0.6230, Val: -0.6627, Test: -0.5738, Seconds: 152.7389, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 004, Train Loss: 0.5669, Val: -0.6515, Test: -0.5738, Seconds: 153.4264, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 005, Train Loss: 0.5194, Val: -0.4443, Test: -0.4724, Seconds: 159.8063, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 006, Train Loss: 0.4963, Val: -0.6724, Test: -0.4724, Seconds: 154.9980, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 007, Train Loss: 0.4780, Val: -0.4280, Test: -0.4607, Seconds: 159.8891, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 008, Train Loss: 0.4685, Val: -0.7322, Test: -0.4607, Seconds: 156.0107, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 009, Train Loss: 0.4557, Val: -0.4823, Test: -0.4607, Seconds: 156.8765, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 010, Train Loss: 0.4417, Val: -0.4342, Test: -0.4607, Seconds: 157.3372, Memory Peak: 2935 MB allocated, 10588 MB reserved.
Epoch: 011, Train Loss: 0.4535, Val: -0.8117, Test: -0.4607, Seconds: 156.5365, Memory Peak: 2935 MB allocated, 12164 MB reserved.
Epoch: 012, Train Loss: 0.4380, Val: -0.5202, Test: -0.4607, Seconds: 157.8326, Memory Peak: 2935 MB allocated, 12164 MB reserved.
Epoch: 013, Train Loss: 0.4317, Val: -0.4226, Test: -0.4668, Seconds: 162.0722, Memory Peak: 2945 MB allocated, 12164 MB reserved.
Epoch: 014, Train Loss: 0.4268, Val: -0.4081, Test: -0.4407, Seconds: 163.1060, Memory Peak: 2945 MB allocated, 12164 MB reserved.
Epoch: 015, Train Loss: 0.4191, Val: -0.4131, Test: -0.4407, Seconds: 158.2714, Memory Peak: 2945 MB allocated, 12164 MB reserved.
Epoch: 016, Train Loss: 0.4175, Val: -0.4273, Test: -0.4407, Seconds: 157.0791, Memory Peak: 2945 MB allocated, 12164 MB reserved.
Epoch: 017, Train Loss: 0.4114, Val: -0.7684, Test: -0.4407, Seconds: 157.7977, Memory Peak: 2945 MB allocated, 13424 MB reserved.
Epoch: 018, Train Loss: 0.4107, Val: -0.5771, Test: -0.4407, Seconds: 157.6312, Memory Peak: 2945 MB allocated, 13424 MB reserved.
Epoch: 019, Train Loss: 0.4096, Val: -0.3778, Test: -0.4087, Seconds: 163.2353, Memory Peak: 2945 MB allocated, 13424 MB reserved.
Epoch: 020, Train Loss: 0.4019, Val: -0.7958, Test: -0.4087, Seconds: 158.0638, Memory Peak: 2945 MB allocated, 13424 MB reserved.
Epoch: 021, Train Loss: 0.4020, Val: -0.4005, Test: -0.4087, Seconds: 157.4673, Memory Peak: 2945 MB allocated, 13424 MB reserved.
Epoch: 022, Train Loss: 0.3937, Val: -0.6840, Test: -0.4087, Seconds: 157.3427, Memory Peak: 3041 MB allocated, 13424 MB reserved.
Epoch: 023, Train Loss: 0.3948, Val: -0.3973, Test: -0.4087, Seconds: 158.2950, Memory Peak: 3041 MB allocated, 13424 MB reserved.
Epoch: 024, Train Loss: 0.3905, Val: -0.6078, Test: -0.4087, Seconds: 157.3763, Memory Peak: 3041 MB allocated, 13424 MB reserved.
Epoch: 025, Train Loss: 0.3849, Val: -0.5606, Test: -0.4087, Seconds: 157.4571, Memory Peak: 3041 MB allocated, 13424 MB reserved.
Epoch: 026, Train Loss: 0.3869, Val: -0.7430, Test: -0.4087, Seconds: 156.8674, Memory Peak: 3041 MB allocated, 13424 MB reserved.
