
Epoch: 001, Train Loss: 0.9584, Val: -3.1614, Test: -3.1129, Seconds: 194.1809, Memory Peak: 35879 MB allocated, 45216 MB reserved.
Epoch: 002, Train Loss: 0.5677, Val: -1.6592, Test: -1.6768, Seconds: 200.8310, Memory Peak: 36085 MB allocated, 45270 MB reserved.
Epoch: 003, Train Loss: 0.4926, Val: -0.8733, Test: -0.9129, Seconds: 201.4359, Memory Peak: 36167 MB allocated, 45270 MB reserved.
Epoch: 004, Train Loss: 0.4642, Val: -1.4035, Test: -0.9129, Seconds: 195.4550, Memory Peak: 36167 MB allocated, 45270 MB reserved.
Epoch: 005, Train Loss: 0.4594, Val: -0.9256, Test: -0.9129, Seconds: 195.3180, Memory Peak: 36167 MB allocated, 45270 MB reserved.
Epoch: 006, Train Loss: 0.4506, Val: -0.9729, Test: -0.9129, Seconds: 194.9559, Memory Peak: 36301 MB allocated, 45270 MB reserved.
Epoch: 007, Train Loss: 0.4411, Val: -1.4848, Test: -0.9129, Seconds: 193.6273, Memory Peak: 36301 MB allocated, 45270 MB reserved.
Epoch: 008, Train Loss: 0.4369, Val: -0.8814, Test: -0.9129, Seconds: 194.0300, Memory Peak: 36301 MB allocated, 45270 MB reserved.
Epoch: 009, Train Loss: 0.4301, Val: -0.6283, Test: -0.6802, Seconds: 200.7571, Memory Peak: 36571 MB allocated, 45270 MB reserved.
Epoch: 010, Train Loss: 0.4158, Val: -0.6817, Test: -0.6802, Seconds: 194.9473, Memory Peak: 36571 MB allocated, 45270 MB reserved.
Epoch: 011, Train Loss: 0.4098, Val: -0.4405, Test: -0.4864, Seconds: 200.6247, Memory Peak: 36571 MB allocated, 45270 MB reserved.
Epoch: 012, Train Loss: 0.4151, Val: -1.0683, Test: -0.4864, Seconds: 194.6715, Memory Peak: 36571 MB allocated, 45296 MB reserved.
Epoch: 013, Train Loss: 0.3991, Val: -1.4994, Test: -0.4864, Seconds: 195.6316, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 014, Train Loss: 0.4011, Val: -0.7075, Test: -0.4864, Seconds: 194.9879, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 015, Train Loss: 0.3896, Val: -0.6708, Test: -0.4864, Seconds: 194.1632, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 016, Train Loss: 0.3903, Val: -1.0201, Test: -0.4864, Seconds: 194.8285, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 017, Train Loss: 0.3971, Val: -1.2100, Test: -0.4864, Seconds: 196.2680, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 018, Train Loss: 0.3887, Val: -0.4035, Test: -0.4343, Seconds: 202.3844, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 019, Train Loss: 0.3824, Val: -1.7899, Test: -0.4343, Seconds: 196.1780, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 020, Train Loss: 0.3722, Val: -0.8684, Test: -0.4343, Seconds: 197.8055, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 021, Train Loss: 0.3859, Val: -0.4310, Test: -0.4343, Seconds: 194.1815, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 022, Train Loss: 0.3740, Val: -0.6843, Test: -0.4343, Seconds: 194.3855, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 023, Train Loss: 0.3532, Val: -0.8934, Test: -0.4343, Seconds: 195.8000, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 024, Train Loss: 0.3597, Val: -0.3709, Test: -0.3930, Seconds: 201.0111, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 025, Train Loss: 0.3453, Val: -0.7820, Test: -0.3930, Seconds: 193.5732, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 026, Train Loss: 0.3622, Val: -1.1685, Test: -0.3930, Seconds: 193.9149, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 027, Train Loss: 0.3583, Val: -0.8194, Test: -0.3930, Seconds: 195.9385, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 028, Train Loss: 0.3332, Val: -0.5377, Test: -0.3930, Seconds: 194.2447, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 029, Train Loss: 0.3496, Val: -0.8678, Test: -0.3930, Seconds: 195.5700, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 030, Train Loss: 0.3248, Val: -0.6148, Test: -0.3930, Seconds: 196.1448, Memory Peak: 36571 MB allocated, 45314 MB reserved.
Epoch: 031, Train Loss: 0.3115, Val: -0.3117, Test: -0.3093, Seconds: 201.7552, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 032, Train Loss: 0.3264, Val: -1.0516, Test: -0.3093, Seconds: 194.1973, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 033, Train Loss: 0.3431, Val: -0.4866, Test: -0.3093, Seconds: 196.0742, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 034, Train Loss: 0.3167, Val: -0.6822, Test: -0.3093, Seconds: 195.5819, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 035, Train Loss: 0.3097, Val: -0.2811, Test: -0.2668, Seconds: 199.9486, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 036, Train Loss: 0.2993, Val: -0.3826, Test: -0.2668, Seconds: 195.1153, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 037, Train Loss: 0.2978, Val: -0.4971, Test: -0.2668, Seconds: 194.4717, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 038, Train Loss: 0.2983, Val: -0.6607, Test: -0.2668, Seconds: 195.0297, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 039, Train Loss: 0.2900, Val: -0.3002, Test: -0.2668, Seconds: 195.7930, Memory Peak: 36587 MB allocated, 45314 MB reserved.
Epoch: 040, Train Loss: 0.2962, Val: -0.3298, Test: -0.2668, Seconds: 196.5470, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 041, Train Loss: 0.2883, Val: -0.2693, Test: -0.2458, Seconds: 202.2725, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 042, Train Loss: 0.2845, Val: -0.8885, Test: -0.2458, Seconds: 194.3977, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 043, Train Loss: 0.2739, Val: -0.4732, Test: -0.2458, Seconds: 196.5877, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 044, Train Loss: 0.3046, Val: -0.3775, Test: -0.2458, Seconds: 196.0054, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 045, Train Loss: 0.2894, Val: -0.9384, Test: -0.2458, Seconds: 197.2661, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 046, Train Loss: 0.2667, Val: -0.2796, Test: -0.2458, Seconds: 194.3152, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 047, Train Loss: 0.2689, Val: -0.4115, Test: -0.2458, Seconds: 197.4995, Memory Peak: 36749 MB allocated, 45314 MB reserved.
Epoch: 048, Train Loss: 0.2729, Val: -1.0150, Test: -0.2458, Seconds: 195.6181, Memory Peak: 36749 MB allocated, 45314 MB reserved.
