bathcnorm False
hidden 6
Epoch: 001, Train Loss: 1.4518, Val: -0.7980, Test: -0.8550, Seconds: 173.5030, Memory Peak: 26679 MB allocated, 44896 MB reserved.
Epoch: 002, Train Loss: 0.7487, Val: -0.6778, Test: -0.7083, Seconds: 179.5416, Memory Peak: 27092 MB allocated, 44964 MB reserved.
Epoch: 003, Train Loss: 0.6616, Val: -0.6127, Test: -0.6427, Seconds: 180.6256, Memory Peak: 27092 MB allocated, 45100 MB reserved.
Epoch: 004, Train Loss: 0.6316, Val: -0.6308, Test: -0.6427, Seconds: 174.8666, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 005, Train Loss: 0.5922, Val: -0.6433, Test: -0.6427, Seconds: 173.9976, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 006, Train Loss: 0.5622, Val: -0.7918, Test: -0.6427, Seconds: 174.2904, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 007, Train Loss: 0.5580, Val: -0.5433, Test: -0.5915, Seconds: 179.9409, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 008, Train Loss: 0.5327, Val: -0.5014, Test: -0.5454, Seconds: 180.1019, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 009, Train Loss: 0.4952, Val: -0.4865, Test: -0.5291, Seconds: 179.8459, Memory Peak: 27092 MB allocated, 45256 MB reserved.
Epoch: 010, Train Loss: 0.4829, Val: -0.4687, Test: -0.4988, Seconds: 179.9656, Memory Peak: 27092 MB allocated, 45280 MB reserved.
Epoch: 011, Train Loss: 0.4949, Val: -0.5194, Test: -0.4988, Seconds: 174.6342, Memory Peak: 27092 MB allocated, 45316 MB reserved.
Epoch: 012, Train Loss: 0.4852, Val: -0.4727, Test: -0.4988, Seconds: 173.8802, Memory Peak: 27092 MB allocated, 45316 MB reserved.
Epoch: 013, Train Loss: 0.4653, Val: -0.5216, Test: -0.4988, Seconds: 174.7440, Memory Peak: 27092 MB allocated, 45316 MB reserved.
Epoch: 014, Train Loss: 0.4520, Val: -0.5262, Test: -0.4988, Seconds: 174.7615, Memory Peak: 27092 MB allocated, 45316 MB reserved.
