RANDOM
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
BN? True
batchnorm BN
hidden 6
BN? True
BN? True
/lfs/hyperturing1/0/echoi1/Random-SignNet/GINESignNetPyG/core/model.py:103: UserWarning: The use of `x.T` on tensors of dimension other than 2 to reverse their shape is deprecated and it will throw an error in a future release. Consider `x.mT` to transpose batches of matrices or `x.permute(*torch.arange(x.ndim - 1, -1, -1))` to reverse the dimensions of a tensor. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3675.)
  rand_out = F.linear(x_r.T.reshape(N*M, -1), self.weight[:, -1:], self.bias) #N*MxF
Epoch: 001, Train Loss: 0.7176, Val: -1.6725, Test: -1.7149, Seconds: 234.6661, Memory Peak: 32609 MB allocated, 45308 MB reserved.
Epoch: 002, Train Loss: 0.5085, Val: -0.8481, Test: -0.8948, Seconds: 240.0921, Memory Peak: 33339 MB allocated, 45308 MB reserved.
Epoch: 003, Train Loss: 0.4756, Val: -0.6059, Test: -0.6370, Seconds: 241.0002, Memory Peak: 33339 MB allocated, 45308 MB reserved.
Epoch: 004, Train Loss: 0.4611, Val: -1.8052, Test: -0.6370, Seconds: 233.3039, Memory Peak: 33339 MB allocated, 45308 MB reserved.
Epoch: 005, Train Loss: 0.4598, Val: -1.0167, Test: -0.6370, Seconds: 234.0948, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 006, Train Loss: 0.4529, Val: -0.4262, Test: -0.4604, Seconds: 240.0364, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 007, Train Loss: 0.4440, Val: -0.6786, Test: -0.4604, Seconds: 232.4174, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 008, Train Loss: 0.4433, Val: -0.7071, Test: -0.4604, Seconds: 233.6436, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 009, Train Loss: 0.4502, Val: -0.4139, Test: -0.4561, Seconds: 239.9800, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 010, Train Loss: 0.4352, Val: -0.5874, Test: -0.4561, Seconds: 232.7286, Memory Peak: 33653 MB allocated, 45308 MB reserved.
Epoch: 011, Train Loss: 0.4116, Val: -0.4585, Test: -0.4561, Seconds: 232.4293, Memory Peak: 33653 MB allocated, 45308 MB reserved.
